Subject_id,offer_id,email_subject
1,110,"Claim Your Fifty Dollar Lowes Offer"
2,110,"Claim Your Fifty Dollar Lowes Reward"
3,110,"Confirmed: Your Fifty Dollar Lowes Offer"
4,110,"Confirmed: Your Fifty Dollar Lowes Reward"
5,110,"Your Fifty Dollar Lowes Offer Is Waiting"
6,110,"CONGRATS! You Can Get $50 Lowes Rewards"
7,110,"Few People Know How to Save with Free Samples"
8,110,"Did you forget? Your $50 Lowes Reward Is Waiting"
9,110,"Survey for a $50 Lowes Reward. Participation Required."
10,110,"Lowes Rewards - $50 Value. Participation Required"
11,110,"$50 Lowes Reward. Participation Required"
12,110,"Extended for a day! Get Your $50 Reward..."
13,110,"Last Chance! Be Sure To Grab Your $50 Reward..."
14,110,"We Want Your Thoughts! Claim Your Fifty Dollar Lowes Reward"
15,110,"Your Opinion is Important! Take This Survey to Claim Your $50 Lowes Reward"
16,110,"$50 in Exclusive Rewards - Provide Your Opinion on Lowes"
17,110,"30 Seconds Will Reward You With $50 in Exclusive Lowes Rewards"
18,110,"Congratulations! An Lowes reward has arrived!"
19,110,"Lowes reward - Open immediately!"
20,110,"We have an important message for you!"
21,110,"We have been trying to reach you - Please respond!"
22,110,"Open Immediately!"
23,110,"Your Participation is Needed!"
24,110,"You are eligible!"
25,110,"Please respond"
50,111,"Leave your feedback and you could WIN!"
51,111,"Congratulations! You can get a $50 Home Depot gift card!"
52,111,"BONUS: $50 HOME DEPOT Gift Card Opportunity"
53,111,"Shopper, You can qualify to get a $50 Home Depot gift card!"
54,112,"Do not pay your next car insurance bill until you read this!"
55,112,"FREE Guide: How to save up to $536/year on your auto insurance"
56,112,"Use this FREE Auto Insurance guide to help you get a MASSIVE discounts and policies as low as $63/month"
57,112,"Did you know you could be eligible to save up to $536/year on your auto insurance?"
58,112,"How to save up to $536/year on your auto insurance"
59,112,"New policies are indicating that for years many drivers have likely overpaid on their car insurance."
60,113,"Life Insurance for Families. (No-Exam options!)"
61,113,"Save on life insurance with Fidelity. No medical exam options!"
